type,A,B,name,label::English,label::Français,label::Swahili,French_lab,Swahililab,calculation,appearance,hint::English,hint::Français,hint::Swahili,relevant,default,constraint,constraint_message::Français,constraint_message::Swahili,required,repeat_count
text,0,H.1.0.1,net_nm1,Name 1,H.1.0.1 Nom 1,H.1.0.1 Jina 1,Nom 1,Jina 1,,,,"Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld","Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld",,,,,,,
calculate,1,,net_exist_nm1,,,,,,"if(${net_nm1}='',0,1)",,,,,,0,,,,,
text,0,H.1.0.2,net_nm2,Name 2,H.1.0.2 Nom 2,H.1.0.2 Jina 2,Nom 2,Jina 2,,,,"Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld","Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld",${net_exist_nm1}=1,,,,,,
calculate,2,,net_exist_nm2,,,,,,"if(${net_nm2}='',0,1)",,,,,,0,,,,,
text,0,H.1.0.3,net_nm3,Name 3,H.1.0.3 Nom 3,H.1.0.3 Jina 3,Nom 3,Jina 3,,,,"Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld","Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld",${net_exist_nm2}=1,,,,,,
calculate,3,,net_exist_nm3,,,,,,"if(${net_nm3}='',0,1)",,,,,,0,,,,,
begin group,1,,alt_1,${net_nm1},${net_nm1},${net_nm1},${net_nm1},${net_nm1},,,,,,${net_exist_nm1}=1,,,,,,
note,,,note_alters1,Please answer the following questions for ${net_nm1},Repondez les question suivants pour ${net_nm1}.,"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm1}.",Repondez les question suivants pour ${net_nm1}.,"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm1}.",,,,,,,,,,,,
select_one family_list or_other,1,H.1.1.1,altrel_1,Type of relation:,H.1.1.1 Type de relation:,H.1.1.1 Muna uhusiano gani:,Type de relation:,Muna uhusiano gani:,,,,,,,,,,,yes,
select_one yes_no,2,H.1.1.2,samevill_1,Does the person live in this village?,H.1.1.2 Est-ce que ce personne habite dans le village?,H.1.1.2 Mutu uyo anaishi kijijini?,Est-ce que ce personne habite dans le village?,Mutu uyo anaishi kijijini?,,,,,,,,,,,yes,
select_multiple official_list,3,H.1.1.3,official_1,Does the person have an official position in the village?,H.1.1.3 Est-ce que ce personne a une position officiel dans ce village?,"H.1.1.3 Je, mtu huyu ana madaraka gani kati ka kijiji?",Est-ce que ce personne a une position officiel dans ce village?,"Je, mtu huyu ana madaraka gani kati ka kijiji?",,,,C'est le village dans lequel ${net_nm1} habite.,C'est le village dans lequel ${net_nm1} habite.,,,,,,yes,
integer,4,H.1.1.4,housedist_1,Walking distance to his/her house (minutes),H.1.1.4 Distance a sa maison (minutes a pied),H.1.1.4 Dakika ngapi kufika nyumbani kwake kwa muguu?,Distance a sa maison (minutes a pied),Dakika ngapi kufika nyumbani kwake kwa muguu?,,,,,,${samevill_1}!='0',,,,,yes,
select_one freq_list,5,H.1.1.5,conactfreq_1,Frequency of contact (face-to-face of by phone) in past year:,H.1.1.5 Frequence de contact dans l'année passée:,H.1.1.5 Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,Frequence de contact dans l'année passée:,Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,,,,,,,,,,,yes,
select_one yes_no,6,H.1.1.6,samegroup_1,Are you and this person member of the same farmer group or association?,H.1.1.6 Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,H.1.1.6 Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,,,,,,,,,,,yes,
select_multiple exchange_list,7,H.1.1.7,labeexch_1,With this person have you exchanged labour in the past year?,H.1.1.7 Est-ce que vous avez exchangé travail avec ce personne?,H.1.1.7 Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,Est-ce que vous avez exchangé travail avec ce personne?,Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,,,,,,,,,,,yes,
select_one yes_no,8,H.1.1.8,talkagr_1,Do you ever talk about agriculture with this person?,H.1.1.8 Est-ce que vous parlez sur l'agriculture avec ce personne?,"H.1.1.8 Je, munazungumuza mambo ya mulimo na mtu huyo?",Est-ce que vous parlez sur l'agriculture avec ce personne?,"Je, munazungumuza mambo ya mulimo na mtu huyo?",,,,,,,,,,,yes,
select_one yes_no_dk,9,H.1.1.9,talkagrlead_1,Has this person ever been lead farmer?,H.1.1.9 Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"H.1.1.9 Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",,,,,,${talkagr_1}='1',,,,,yes,
select_one yes_no_dk,10,H.1.1.10,talkagrleg_1,Does this person grow legumes?,H.1.1.10 Est-ce que ce personne cultive des legumineux?,"H.1.1.10 Je, mtu huyu anatumikisha mboga ya majani?",Est-ce que ce personne cultive des legumineux?,"Je, mtu huyu anatumikisha mboga ya majani?",,,,,,${talkagr_1}='1',,,,,yes,
select_one yes_no_dk,11,H.1.1.11,talkagrimpr_1,Do they use improved seeds for their legumes?,H.1.1.11 Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"H.1.1.11 Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",,,,,,${talkagr_1}='1' and ${talkagrleg_1}='1',,,,,yes,
select_one yes_no_dk,12,H.1.1.12,talkagrinoc_1,Do they use inoculant for their legumes?,H.1.1.12 Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"H.1.1.12 Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",,,,,,${talkagr_1}='1' and ${talkagrleg_1}='1',,,,,yes,
select_one yes_no,13,H.1.1.13,talkagrseeds_1,Do you exchange seeds?,H.1.1.13 Est-ce que vous exchangez des semences avec ce personne?,"H.1.1.13 Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",Est-ce que vous exchangez des semences avec ce personne?,"Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",,,,,,${talkagr_1}='1',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,2,,alt_2,${net_nm2},${net_nm2},${net_nm2},${net_nm2},${net_nm2},,,,,,${net_exist_nm2}=1,,,,,,
note,,,note_alters2,Please answer the following questions for ${net_nm2},Repondez les question suivants pour ${net_nm2}.,"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm2}.",Repondez les question suivants pour ${net_nm2}.,"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm2}.",,,,,,,,,,,,
select_one family_list or_other,1,H.1.2.1,altrel_2,Type of relation:,H.1.2.1 Type de relation:,H.1.2.1 Muna uhusiano gani:,Type de relation:,Muna uhusiano gani:,,,,,,,,,,,yes,
select_one yes_no,2,H.1.2.2,samevill_2,Does the person live in this village?,H.1.2.2 Est-ce que ce personne habite dans le village?,H.1.2.2 Mutu uyo anaishi kijijini?,Est-ce que ce personne habite dans le village?,Mutu uyo anaishi kijijini?,,,,,,,,,,,yes,
select_multiple official_list,3,H.1.2.3,official_2,Does the person have an official position in the village?,H.1.2.3 Est-ce que ce personne a une position officiel dans ce village?,"H.1.2.3 Je, mtu huyu ana madaraka gani kati ka kijiji?",Est-ce que ce personne a une position officiel dans ce village?,"Je, mtu huyu ana madaraka gani kati ka kijiji?",,,,C'est le village dans lequel ${net_nm2} habite.,C'est le village dans lequel ${net_nm2} habite.,,,,,,yes,
integer,4,H.1.2.4,housedist_2,Walking distance to his/her house (minutes),H.1.2.4 Distance a sa maison (minutes a pied),H.1.2.4 Dakika ngapi kufika nyumbani kwake kwa muguu?,Distance a sa maison (minutes a pied),Dakika ngapi kufika nyumbani kwake kwa muguu?,,,,,,${samevill_2}!='0',,,,,yes,
select_one freq_list,5,H.1.2.5,conactfreq_2,Frequency of contact (face-to-face of by phone) in past year:,H.1.2.5 Frequence de contact dans l'année passée:,H.1.2.5 Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,Frequence de contact dans l'année passée:,Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,,,,,,,,,,,yes,
select_one yes_no,6,H.1.2.6,samegroup_2,Are you and this person member of the same farmer group or association?,H.1.2.6 Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,H.1.2.6 Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,,,,,,,,,,,yes,
select_multiple exchange_list,7,H.1.2.7,labeexch_2,With this person have you exchanged labour in the past year?,H.1.2.7 Est-ce que vous avez exchangé travail avec ce personne?,H.1.2.7 Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,Est-ce que vous avez exchangé travail avec ce personne?,Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,,,,,,,,,,,yes,
select_one yes_no,8,H.1.2.8,talkagr_2,Do you ever talk about agriculture with this person?,H.1.2.8 Est-ce que vous parlez sur l'agriculture avec ce personne?,"H.1.2.8 Je, munazungumuza mambo ya mulimo na mtu huyo?",Est-ce que vous parlez sur l'agriculture avec ce personne?,"Je, munazungumuza mambo ya mulimo na mtu huyo?",,,,,,,,,,,yes,
select_one yes_no_dk,9,H.1.2.9,talkagrlead_2,Has this person ever been lead farmer?,H.1.2.9 Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"H.1.2.9 Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",,,,,,${talkagr_2}='1',,,,,yes,
select_one yes_no_dk,10,H.1.2.10,talkagrleg_2,Does this person grow legumes?,H.1.2.10 Est-ce que ce personne cultive des legumineux?,"H.1.2.10 Je, mtu huyu anatumikisha mboga ya majani?",Est-ce que ce personne cultive des legumineux?,"Je, mtu huyu anatumikisha mboga ya majani?",,,,,,${talkagr_2}='1',,,,,yes,
select_one yes_no_dk,11,H.1.2.11,talkagrimpr_2,Do they use improved seeds for their legumes?,H.1.2.11 Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"H.1.2.11 Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",,,,,,${talkagr_2}='1' and ${talkagrleg_2}='1',,,,,yes,
select_one yes_no_dk,12,H.1.2.12,talkagrinoc_2,Do they use inoculant for their legumes?,H.1.2.12 Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"H.1.2.12 Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",,,,,,${talkagr_2}='1' and ${talkagrleg_2}='1',,,,,yes,
select_one yes_no,13,H.1.2.13,talkagrseeds_2,Do you exchange seeds?,H.1.2.13 Est-ce que vous exchangez des semences avec ce personne?,"H.1.2.13 Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",Est-ce que vous exchangez des semences avec ce personne?,"Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",,,,,,${talkagr_2}='1',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,3,,alt_3,${net_nm3},${net_nm3},${net_nm3},${net_nm3},${net_nm3},,,,,,${net_exist_nm3}=1,,,,,,
note,,,note_alters3,Please answer the following questions for ${net_nm3},Repondez les question suivants pour ${net_nm3}.,"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm3}.",Repondez les question suivants pour ${net_nm3}.,"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm3}.",,,,,,,,,,,,
select_one family_list or_other,1,H.1.3.1,altrel_3,Type of relation:,H.1.3.1 Type de relation:,H.1.3.1 Muna uhusiano gani:,Type de relation:,Muna uhusiano gani:,,,,,,,,,,,yes,
select_one yes_no,2,H.1.3.2,samevill_3,Does the person live in this village?,H.1.3.2 Est-ce que ce personne habite dans le village?,H.1.3.2 Mutu uyo anaishi kijijini?,Est-ce que ce personne habite dans le village?,Mutu uyo anaishi kijijini?,,,,,,,,,,,yes,
select_multiple official_list,3,H.1.3.3,official_3,Does the person have an official position in the village?,H.1.3.3 Est-ce que ce personne a une position officiel dans ce village?,"H.1.3.3 Je, mtu huyu ana madaraka gani kati ka kijiji?",Est-ce que ce personne a une position officiel dans ce village?,"Je, mtu huyu ana madaraka gani kati ka kijiji?",,,,C'est le village dans lequel ${net_nm3} habite.,C'est le village dans lequel ${net_nm3} habite.,,,,,,yes,
integer,4,H.1.3.4,housedist_3,Walking distance to his/her house (minutes),H.1.3.4 Distance a sa maison (minutes a pied),H.1.3.4 Dakika ngapi kufika nyumbani kwake kwa muguu?,Distance a sa maison (minutes a pied),Dakika ngapi kufika nyumbani kwake kwa muguu?,,,,,,${samevill_3}!='0',,,,,yes,
select_one freq_list,5,H.1.3.5,conactfreq_3,Frequency of contact (face-to-face of by phone) in past year:,H.1.3.5 Frequence de contact dans l'année passée:,H.1.3.5 Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,Frequence de contact dans l'année passée:,Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,,,,,,,,,,,yes,
select_one yes_no,6,H.1.3.6,samegroup_3,Are you and this person member of the same farmer group or association?,H.1.3.6 Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,H.1.3.6 Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,,,,,,,,,,,yes,
select_multiple exchange_list,7,H.1.3.7,labeexch_3,With this person have you exchanged labour in the past year?,H.1.3.7 Est-ce que vous avez exchangé travail avec ce personne?,H.1.3.7 Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,Est-ce que vous avez exchangé travail avec ce personne?,Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,,,,,,,,,,,yes,
select_one yes_no,8,H.1.3.8,talkagr_3,Do you ever talk about agriculture with this person?,H.1.3.8 Est-ce que vous parlez sur l'agriculture avec ce personne?,"H.1.3.8 Je, munazungumuza mambo ya mulimo na mtu huyo?",Est-ce que vous parlez sur l'agriculture avec ce personne?,"Je, munazungumuza mambo ya mulimo na mtu huyo?",,,,,,,,,,,yes,
select_one yes_no_dk,9,H.1.3.9,talkagrlead_3,Has this person ever been lead farmer?,H.1.3.9 Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"H.1.3.9 Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",,,,,,${talkagr_3}='1',,,,,yes,
select_one yes_no_dk,10,H.1.3.10,talkagrleg_3,Does this person grow legumes?,H.1.3.10 Est-ce que ce personne cultive des legumineux?,"H.1.3.10 Je, mtu huyu anatumikisha mboga ya majani?",Est-ce que ce personne cultive des legumineux?,"Je, mtu huyu anatumikisha mboga ya majani?",,,,,,${talkagr_3}='1',,,,,yes,
select_one yes_no_dk,11,H.1.3.11,talkagrimpr_3,Do they use improved seeds for their legumes?,H.1.3.11 Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"H.1.3.11 Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",,,,,,${talkagr_3}='1' and ${talkagrleg_3}='1',,,,,yes,
select_one yes_no_dk,12,H.1.3.12,talkagrinoc_3,Do they use inoculant for their legumes?,H.1.3.12 Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"H.1.3.12 Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",,,,,,${talkagr_3}='1' and ${talkagrleg_3}='1',,,,,yes,
select_one yes_no,13,H.1.3.13,talkagrseeds_3,Do you exchange seeds?,H.1.3.13 Est-ce que vous exchangez des semences avec ce personne?,"H.1.3.13 Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",Est-ce que vous exchangez des semences avec ce personne?,"Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",,,,,,${talkagr_3}='1',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
note,2,,net_note2,"Consider the following situation. Due to changes in your agricultural production process, you are faced with a sudden increased need for manpower on one of your plots. You realize that by tomorrow you need some extra hands on your field. With whom would you seek contact and ask to provide you with a helping hand?","Imaginons la situation suivante. Vous, votre femme et un de vos enfants discutent une proposition de mariage de cet enfant. Suivant des discussions avec votre partenaire, vous sentez le besoin de discuter de cette situation avec une personne qui vous pouvez faire confiance et peut vous fournir des conseils personnels. Qui voulez-vous contacter pour en discuter? Dressez la liste de trois noms (max), par ordre décroissant de probabilité de contacter","Angalia hali hii. Kwa mfano unaitaji kubadilisha namna yako yakuongeza mazao shambani, pia unajikuta kunahaja ya kuongeza wafanyakazi ndani ya moja ya shamba zako. Pamoja na hiyo, unajikuta kwamba kesho unaitaji mikono ya zaidi kwenye shamba. Kwa haya yote, unaweza kuambia nani ili akusaidiye?","Imaginons la situation suivante. Vous, votre femme et un de vos enfants discutent une proposition de mariage de cet enfant. Suivant des discussions avec votre partenaire, vous sentez le besoin de discuter de cette situation avec une personne qui vous pouvez faire confiance et peut vous fournir des conseils personnels. Qui voulez-vous contacter pour en discuter? Dressez la liste de trois noms (max), par ordre décroissant de probabilité de contacter","Angalia hali hii. Kwa mfano unaitaji kubadilisha namna yako yakuongeza mazao shambani, pia unajikuta kunahaja ya kuongeza wafanyakazi ndani ya moja ya shamba zako. Pamoja na hiyo, unajikuta kwamba kesho unaitaji mikono ya zaidi kwenye shamba. Kwa haya yote, unaweza kuambia nani ili akusaidiye?",,,,,,,,,,,,
text,0,H.2.0.1,net_nm4,Name 1,H.2.0.1 Nom 1,H.2.0.1 Jina 1,Nom 1,Jina 1,,,,"Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld","Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld",,,,,,,
calculate,1,,net_exist_nm4,,,,,,"if(${net_nm4}='',0,1)",,,,,,0,,,,,
text,0,H.2.0.2,net_nm5,Name 2,H.2.0.2 Nom 2,H.2.0.2 Jina 2,Nom 2,Jina 2,,,,"Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld","Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld",${net_exist_nm4}=1,,,,,,
calculate,2,,net_exist_nm5,,,,,,"if(${net_nm5}='',0,1)",,,,,,0,,,,,
text,0,H.2.0.3,net_nm6,Name 3,H.2.0.3 Nom 3,H.2.0.3 Jina 3,Nom 3,Jina 3,,,,"Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld","Si il n'y a (plus) des personnes, laissez vide pour sauter au prochain situation.
Il faut noter un nom unique dans le village. Donc pas Koen, mais Koen Leuveld",${net_exist_nm5}=1,,,,,,
calculate,3,,net_exist_nm6,,,,,,"if(${net_nm6}='',0,1)",,,,,,0,,,,,
begin group,4,,alt_4,${net_nm4},${net_nm4},${net_nm4},${net_nm4},${net_nm4},,,,,,${net_exist_nm4}=1,,,,,,
note,,,note_alters4,Please answer the following questions for ${net_nm4},Repondez les question suivants pour ${net_nm4}.,"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm4}.",Repondez les question suivants pour ${net_nm4}.,"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm4}.",,,,,,,,,,,,
select_one yes_no,,,answered_4,Did you already answer questions about this person?,Avez vous déjà répondu à des questions sur ${net_nm4}?,Je! tayari umekwisha jibu maswali kuhusu ${net_nm4}?,Avez vous déjà répondu à des questions sur ${net_nm4}?,Je! tayari umekwisha jibu maswali kuhusu ${net_nm4}?,,,,,,,,,,,yes,
select_one family_list or_other,1,H.2.1.1,altrel_4,Type of relation:,H.2.1.1 Type de relation:,H.2.1.1 Muna uhusiano gani:,Type de relation:,Muna uhusiano gani:,,,,,,${answered_4}='0',,,,,yes,
select_one yes_no,2,H.2.1.2,samevill_4,Does the person live in this village?,H.2.1.2 Est-ce que ce personne habite dans le village?,H.2.1.2 Mutu uyo anaishi kijijini?,Est-ce que ce personne habite dans le village?,Mutu uyo anaishi kijijini?,,,,,,${answered_4}='0',,,,,yes,
select_multiple official_list,3,H.2.1.3,official_4,Does the person have an official position in the village?,H.2.1.3 Est-ce que ce personne a une position officiel dans ce village?,"H.2.1.3 Je, mtu huyu ana madaraka gani kati ka kijiji?",Est-ce que ce personne a une position officiel dans ce village?,"Je, mtu huyu ana madaraka gani kati ka kijiji?",,,,C'est le village dans lequel ${net_nm4} habite.,C'est le village dans lequel ${net_nm4} habite.,,,,,,yes,
integer,4,H.2.1.4,housedist_,Walking distance to his/her house (minutes),H.2.1.4 Distance a sa maison (minutes a pied),H.2.1.4 Dakika ngapi kufika nyumbani kwake kwa muguu?,Distance a sa maison (minutes a pied),Dakika ngapi kufika nyumbani kwake kwa muguu?,,,,,,${samevill_4}!='0',,,,,yes,
select_one freq_list,5,H.2.1.5,conactfreq_4,Frequency of contact (face-to-face of by phone) in past year:,H.2.1.5 Frequence de contact dans l'année passée:,H.2.1.5 Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,Frequence de contact dans l'année passée:,Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,,,,,,${answered_4}='0',,,,,yes,
select_one yes_no,6,H.2.1.6,samegroup_4,Are you and this person member of the same farmer group or association?,H.2.1.6 Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,H.2.1.6 Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,,,,,,${answered_4}='0',,,,,yes,
select_multiple exchange_list,7,H.2.1.7,labeexch_4,With this person have you exchanged labour in the past year?,H.2.1.7 Est-ce que vous avez exchangé travail avec ce personne?,H.2.1.7 Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,Est-ce que vous avez exchangé travail avec ce personne?,Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,,,,,,${answered_4}='0',,,,,yes,
select_one yes_no,8,H.2.1.8,talkagr_4,Do you ever talk about agriculture with this person?,H.2.1.8 Est-ce que vous parlez sur l'agriculture avec ce personne?,"H.2.1.8 Je, munazungumuza mambo ya mulimo na mtu huyo?",Est-ce que vous parlez sur l'agriculture avec ce personne?,"Je, munazungumuza mambo ya mulimo na mtu huyo?",,,,,,${answered_4}='0',,,,,yes,
select_one yes_no_dk,9,H.2.1.9,talkagrlead_4,Has this person ever been lead farmer?,H.2.1.9 Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"H.2.1.9 Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",,,,,,${answered_4}='0' and ${talkagr_4}='1',,,,,yes,
select_one yes_no_dk,10,H.2.1.10,talkagrleg_4,Does this person grow legumes?,H.2.1.10 Est-ce que ce personne cultive des legumineux?,"H.2.1.10 Je, mtu huyu anatumikisha mboga ya majani?",Est-ce que ce personne cultive des legumineux?,"Je, mtu huyu anatumikisha mboga ya majani?",,,,,,${answered_4}='0' and ${talkagr_4}='1',,,,,yes,
select_one yes_no_dk,11,H.2.1.11,talkagrimpr_4,Do they use improved seeds for their legumes?,H.2.1.11 Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"H.2.1.11 Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",,,,,,${answered_4}='0' and ${talkagr_4}='1' and ${talkagrleg_4}='1',,,,,yes,
select_one yes_no_dk,12,H.2.1.12,talkagrinoc_4,Do they use inoculant for their legumes?,H.2.1.12 Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"H.2.1.12 Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",,,,,,${answered_4}='0' and ${talkagr_4}='1' and ${talkagrleg_4}='1',,,,,yes,
select_one yes_no,13,H.2.1.13,talkagrseeds_4,Do you exchange seeds?,H.2.1.13 Est-ce que vous exchangez des semences avec ce personne?,"H.2.1.13 Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",Est-ce que vous exchangez des semences avec ce personne?,"Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",,,,,,${answered_4}='0' and ${talkagr_4}='1',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,5,,alt_5,${net_nm5},${net_nm5},${net_nm5},${net_nm5},${net_nm5},,,,,,${net_exist_nm5}=1,,,,,,
